product_id,name,specification,category,official_match_status,image_url,image_rights_status,queue_reasons,priority,source_order
20250812_110525,이동국테이핑,1box,의료기기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,182
20250812_110528,웰업엠앰엠테이프와이,1통,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,183
20250812_110722,스트롱조인트,240정,관절,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,196
20250812_110748,명품난각막프리미엄,120T,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,200
20250812_110952,프리미엄리버시마린,60c,건강보조식품,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,217
20250812_111138,마그징코플러스,60T,혈행개선,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,228
20250812_111229,브레인하이큐,60c,혈행개선,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,240
20250812_112817,한풍올가에스,120포,소화기,confirmed,,미확인,image_missing,3,307
20250812_113118,인사큐어액,10P,호흡기,confirmed,,미확인,image_missing,3,320
20250812_113122,이바프텐액,10포,호흡기,confirmed,,미확인,image_missing,3,322
20250812_113223,콜즈록나잘스프레이,20ml,호흡기,confirmed,,미확인,image_missing,3,338
20250812_113258,센코프액,5P,호흡기,confirmed,,,image_missing,3,348
20250812_113301,파인큐나프록센현탁액,5포,호흡기,confirmed,,미확인,image_missing,3,349
20250812_113616,모드콜코프시럽,5mL×10포,키즈,confirmed,,미확인,image_missing,3,376
20250812_113630,이큐펜키즈아이시럽(이부프로펜),5mL×10포,키즈,confirmed,,미확인,image_missing,3,379
20250812_113631,이큐펜키즈에이시럽(아세트아미노펜),5mL×10포,키즈,confirmed,,미확인,image_missing,3,380
20250812_113634,콜록키즈이부펜시럽,5ml,키즈,confirmed,,미확인,image_missing,3,381
20250812_114124,이엔탁스프로,120캡슐,"구강, 치아",not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,427
20250812_114411,커버든엑스과립(위령탕),5포,호흡기,confirmed,,미확인,image_missing,3,440
20250812_114737,트리플리얼리체크(임테기),1개,의료기기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,475
20250812_114756,HONEY GEL,1통,남성,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,478
20250812_114918,상황산삼액,10병,소화기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,488
20250812_114924,경옥골드,100mL × 10병,소화기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,489
20250812_114928,파워텐골드,1병,소화기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,490
20250812_114935,셀티아이베이비,60P,키즈,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,492
20250812_115001,글루타치온실크알부민,1통,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,496
20250812_115254,티니핑홍삼젤리,10EA,키즈,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,521
20250812_115259,프로팜칼슘챔피언,90정,키즈,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,522
20250812_115421,일동쏘팔메토코사놀프리미엄,120캡슐,전립선,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,528
20250812_115426,뉴올업쏘팔메토포르테,60c,전립선,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,529
20250812_115450,젤세라프리미엄쏘팔메토,120c,전립선,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,533
20260129_110235,녹용보,10EA,드링크,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,535
20260129_110359,닥터 리쥬피디 프리미엄 PDRN 리페어 크림,10EA,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,551
20260129_110406,리쥬닉 PDRN 리쥬비네이팅 앤 리페어 크림,10EA,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,553
20260129_110416,리쥬올세라마이드베리어크림,90ml,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,555
20260129_110428,후시메드 마스크팩,5ea,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,558
20260129_110455,아르베라 PDRN 리쥬샷 리페어 세럼,45mL,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,562
20260129_110533,애크온 딥 클렌징 폼,100mL,코스메틱,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,570
20260129_110915,윙크리얼핏,10개,남성,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,576
20260129_111516,판시딜액3%(미녹시딜),200ml,탈모,confirmed,,미확인,image_missing,3,612
20260129_111529,동성미녹스샴푸,120g,탈모,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,615
20260129_112030,프롬팜질건강엔리스펙타&지노밸런스,60캡슐,유산균,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,629
20260129_112032,프로캄진프로바이오틱스플러스30,30캡슐,유산균,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,630
20260129_112046,트루팍 생프로바이오틱스,30포,유산균,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,634
20260129_112100,올케어장용성프로바이오틱스,60캡슐,유산균,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,637
20260129_112103,프로바이오틱스프라임,120c,유산균,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,638
20260129_113524,울트라맥스메가B,120정,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,716
20260129_113630,올인원뉴트리션이뮨데일리팩,30포,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,725
20260129_113732,하루루틴비타민C,100포×2개,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,740
20260129_113748,리포좀비타민C,30포,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,745
20260129_114009,엘리나C이뮨,120T,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,762
20260129_114024,장용비타민C복합제,240c,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,764
20260129_114054,유한m액티브셀렌효모플러스,480정,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,770
20260129_114113,아이브라 아연,60정,비타민,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,776
20250812_105806,녹십자 하루케어 오메가3,30캡슐,영양제,not_applicable,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/4379/a68607c745c6a299d018716cb6f633240f699e2fb04102e177251d2d5a77.png,verified,image_search_proxy_source;non_medicine_official_source_pending,4,124
20250812_110425,큐어반F 관절용,7매,상처,not_applicable,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/3c45/6367c958cb5c7a4ec5107644de598e6fbb18d6a428265231668fa05ab519.jpg,verified,image_search_proxy_source;non_medicine_official_source_pending,4,168
20250812_110426,큐어반F 손끝용,10매,상처,not_applicable,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/033e/8ddb3b42ee081ad6c27921ba56ff0e72eb332dba197361890998458e512b.jpg,verified,image_search_proxy_source;non_medicine_official_source_pending,4,169
20250812_112150,모스케어 싹액,80mL,호흡기,not_applicable,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/2025/08/07/14/5/90734ebf-f3b3-466a-bfd2-cf99e4a51039.jpg,verified,image_search_proxy_source;non_medicine_official_source_pending,4,267
20260129_112042,프롬팜싱글맥스프로바이오틱스50,60포,유산균,not_applicable,https://thumbnail.coupangcdn.com/image/vendor_inventory/4e7c/d53077c18bc71246885bf77100ef0450453767ac2dc7eacbffb772221926.jpeg,verified,image_search_proxy_source;non_medicine_official_source_pending,4,633
20260129_113706,츄어블비타민D4000IU,120캡슐,비타민,not_applicable,https://thumbnail.coupangcdn.com/image/vendor_inventory/668f/b18fc34e273b4aef795e1a798b6ded7e6b72402e25d2bf99686b335c152b.png,verified,image_search_proxy_source;non_medicine_official_source_pending,4,733
20260129_113801,하루케어멀티비타민&미네랄,500mg×30정,비타민,not_applicable,https://thumbnail.coupangcdn.com/image/vendor_inventory/dc03/3b6e0e25620a7a322c61d4a339960be0ac791474cd2dcd1a0597ae3fb2d9.jpg,verified,image_search_proxy_source;non_medicine_official_source_pending,4,749
20260129_113832,슈퍼멀티비타민이뮨부스트,30병,비타민,not_applicable,https://thumbnail.coupangcdn.com/image/retail/images/2025/05/07/17/5/292e21c9-9ebe-438c-9758-600808e775e1.png,verified,image_search_proxy_source;non_medicine_official_source_pending,4,752
20250801_172323,헬씨허그 식물성 멜라토닌 함유 멜라잇 플러스 500mg,30정,수면,not_applicable,https://img.danuri.io/catalog-image/777/901/061/64f56c0cedf347969414ccdc059f5213.jpg,verified,non_medicine_official_source_pending,6,1
20250801_172722,보령 메디칼 비접촉식 다기능 체온계 BR-060,1개,의료기기,not_applicable,https://image.coupangcdn.com/image/vendor_inventory/9212/268aaa16b1a611a237e2e0f17b1dcc767f88a2832ca49cf3126a731d7811.jpg,verified,non_medicine_official_source_pending,6,4
20250801_172723,보령 귓속형 체온계 DT-025,1개,의료기기,not_applicable,https://image.coupangcdn.com/image/vendor_inventory/92ac/a825fdd41c9eef945e4d5b604602a191a647f23ed07b7c297c1d35213a37.png,verified,non_medicine_official_source_pending,6,5
20250801_172844,유한m 비타민D 2000IU,90캡슐,영양제,not_applicable,https://www.peoplepharm.com/shop/data/goods/1692687104547l0.jpg,verified,non_medicine_official_source_pending,6,7
20250801_173304,비겐크림톤,1통,기타,not_applicable,https://img.danuri.io/catalog-image/068/630/004/12e319e435424a6798668cfb814a27a9.jpg,verified,non_medicine_official_source_pending,6,13
20250812_103019,컨디션 헛개,100mL×10병,드링크,not_applicable,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/8437151603/B.webp?241429988,verified,non_medicine_official_source_pending,6,29
20250812_103032,부채표 쌍화천,100mL×10병,드링크,not_applicable,https://www.dong-wha.co.kr/product/pimage/20250908015900_mid-200px.jpg,verified,non_medicine_official_source_pending,6,30
20250812_103132,영진 아미노비 골드,100mL×10병,드링크,not_applicable,https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/8978393215/B.webp?638431694,verified,non_medicine_official_source_pending,6,34
20250812_103254,컴배트 스피드 에어졸,500mL×1개,기타,not_applicable,https://img.danuri.io/catalog-image/761/147/005/3dde9953d30c4632895e65d2b652afb0.jpg,verified,non_medicine_official_source_pending,6,36
20250812_103307,홈키파 수성 에어졸 무향,600mL×1개,기타,not_applicable,https://img.danuri.io/catalog-image/458/174/093/a91c4bfc228b404486ff93cc4a351131.webp,verified,non_medicine_official_source_pending,6,37
20250812_103314,피톤치드 에어로졸(수성),1EA,기타,not_applicable,https://ep-cdn.011st.com/11dims/resize/900x900/quality/75/11src/product/3515129059/B.jpg?567000000,verified,non_medicine_official_source_pending,6,38
20250812_103344,웰빙헬스 고운발,100g,기타,not_applicable,https://www.cjq.co.kr/shopimages/maxcareon/005000000081.jpg?1478849640,verified,non_medicine_official_source_pending,6,39
20250812_103426,바세린 인텐시브 케어 헬씨 핸드 앤 스트롱거 네일,60mL,기타,not_applicable,https://img.danuri.io/catalog-image/589/193/010/a1f8817e5cbd4ff4aaae40865a49aa4b.jpg,verified,non_medicine_official_source_pending,6,40
20250812_103431,바세린 풋크림 딥 모이스처,55g,기타,not_applicable,https://simg.ssgcdn.com/trans.ssg?src=/uphoto/202410/20241025103858_1227497783_0_1.jpg&w=500&h=500&autoOrient=true&t=aba5fe1276b8201d411ed9cca6dc9a54046de94b,verified,non_medicine_official_source_pending,6,41
20250812_103434,바세린 프로텍팅 젤리 오리지널,50mL,기타,not_applicable,https://img.danuri.io/catalog-image/362/544/003/690b9a07f0e149c0a927c11d7cb6e109.jpg,verified,non_medicine_official_source_pending,6,42
20250812_103447,듀렉스 인비저블 엑스트라 센서티브,10개,남성,not_applicable,https://ecimg.cafe24img.com/pg480b29845720013/greentube/web/product/big/20251127/59426f89d3662759599b38a0b165fe83.jpg,verified,non_medicine_official_source_pending,6,43
20250812_103448,윙크 퍼펙트 슬림 001,10개,남성,not_applicable,https://www.dapharm.com/common/images/brand/WNKCDPS10P_01.png,verified,non_medicine_official_source_pending,6,44
20250812_103544,레모비타플러스,120정,키즈,not_applicable,https://www.peoplepharm.com/shop/data/goods/1449113376l0.jpg,verified,non_medicine_official_source_pending,6,48
20250812_103618,정관장 아이키커 비타골드 포도,100mL×10포,키즈,not_applicable,https://img.danuri.io/catalog-image/596/924/117/2b6acafa07bc4c6b8aa3976ff29a9fa9.jpg,verified,non_medicine_official_source_pending,6,50
20250812_103632,동아제약 프롬팜 이뮨챔피언,15g×30포,키즈,not_applicable,https://www.dapharm.com/common/images/brand/ICPO30_01.png,verified,non_medicine_official_source_pending,6,51
20250812_103713,리너지 초임계 알티지 오메가3 원스,60캡슐,영양제,not_applicable,https://ep-cdn.011st.com/11dims/resize/900x900/quality/75/11src/product/9337580498/B.webp?189849497,verified,non_medicine_official_source_pending,6,52
20250812_103723,종근당 명작 프리미엄 알티지 오메가-3,90캡슐,영양제,not_applicable,https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/4717666670/B.png?221000000,verified,non_medicine_official_source_pending,6,53
20250812_103749,유한 루테인 지아잔틴 플러스,60캡슐,영양제,not_applicable,https://contents.lotteon.com/itemimage/20260626205213/LO/27/09/45/70/90/_2/70/94/57/09/1/LO2709457090_2709457091_1.jpg,verified,non_medicine_official_source_pending,6,57
